Time;Value
1670392113951;5
1670392114453;9
1670392114964;18
1670392115455;9
1670392115951;5
1670392116455;7
1670392116955;6
1670392117457;6
1670392117956;5
1670392118457;6
1670392118956;5
1670392119457;6
1670392119956;5
1670392120457;5
1670393262537;5
1670393263036;4
1670393263536;4
1670393264038;5
1670393264537;4
1670393265038;5
1670393265537;4
1670393266039;6
1670393266539;6
1670393267037;4
1670393267540;7
1670393268037;4
1670393268537;4
1670393269037;4
1670393270920;7
1670393271415;4
1670393271917;5
1670393272417;5
1670393272917;4
1670393273417;4
1670393273918;5
1670393274417;4
1670393274917;4
1670393275418;4
1670393275920;5
1670393276422;6
1670393276923;7
1670393277923;506
1670393277924;7
1670393278422;5
1670393278922;4
1670393504116;5
1670393504612;3
1670393505116;6
1670393505617;6
1670393506119;5
1670393506619;5
1670393507119;5
1670393507620;5
1670393508120;4
1670393508620;4
1670393509132;15
1670393509626;8
1670393510123;6
1670393510623;6
1670393511123;6
1670393511623;6
1670393512123;5
1670393512632;13
1670393515522;5
1670393516022;5
1670393516522;5
1670393517022;5
1670393517522;5
1670393518024;6
1670393518523;5
1670393519027;9
1670393519524;5
1670393520024;5
1670393520527;5
1670393521028;5
1670393521528;5
1670393522028;5
1670393522528;5
1670393523031;8
1670393523530;5
1670393524040;14
1670393524534;5
1670393525033;4
1670393525537;8
1670393526045;16
